표준_항목,표준_element_id,period_type,회사,CIK,동일_element_보유,fact_수
부채(전체),ifrs-full_Liabilities,instant,동양생명,00117267,Y,110
부채(전체),ifrs-full_Liabilities,instant,삼성화재,00139214,Y,81
부채(전체),ifrs-full_Liabilities,instant,현대해상,00164973,Y,17
부채(전체),ifrs-full_Liabilities,instant,DB손해보험,00159102,Y,6
부채(전체),ifrs-full_Liabilities,instant,한화손해보험,00135917,Y,6
부채(전체),ifrs-full_Liabilities,instant,흥국화재,00103176,Y,3
자산(전체),ifrs-full_Assets,instant,미래에셋생명,00112332,Y,96
자산(전체),ifrs-full_Assets,instant,삼성생명,00126256,Y,45
자산(전체),ifrs-full_Assets,instant,한화생명,00113058,Y,51
자산(전체),ifrs-full_Assets,instant,동양생명,00117267,Y,208
자산(전체),ifrs-full_Assets,instant,삼성화재,00139214,Y,212
자산(전체),ifrs-full_Assets,instant,현대해상,00164973,Y,35
자산(전체),ifrs-full_Assets,instant,DB손해보험,00159102,Y,45
자산(전체),ifrs-full_Assets,instant,한화손해보험,00135917,Y,43
자산(전체),ifrs-full_Assets,instant,흥국화재,00103176,Y,15
자본,ifrs-full_Equity,instant,미래에셋생명,00112332,Y,105
자본,ifrs-full_Equity,instant,삼성생명,00126256,Y,48
자본,ifrs-full_Equity,instant,한화생명,00113058,Y,48
자본,ifrs-full_Equity,instant,동양생명,00117267,Y,161
자본,ifrs-full_Equity,instant,삼성화재,00139214,Y,100
자본,ifrs-full_Equity,instant,현대해상,00164973,Y,47
자본,ifrs-full_Equity,instant,DB손해보험,00159102,Y,54
자본,ifrs-full_Equity,instant,한화손해보험,00135917,Y,54
자본,ifrs-full_Equity,instant,흥국화재,00103176,Y,18
보험수익,ifrs-full_InsuranceRevenue,duration,미래에셋생명,00112332,Y,66
보험수익,ifrs-full_InsuranceRevenue,duration,삼성생명,00126256,Y,26
보험수익,ifrs-full_InsuranceRevenue,duration,한화생명,00113058,Y,218
보험수익,ifrs-full_InsuranceRevenue,duration,동양생명,00117267,Y,16
보험수익,ifrs-full_InsuranceRevenue,duration,삼성화재,00139214,Y,54
보험수익,ifrs-full_InsuranceRevenue,duration,현대해상,00164973,Y,79
보험수익,ifrs-full_InsuranceRevenue,duration,DB손해보험,00159102,Y,90
보험수익,ifrs-full_InsuranceRevenue,duration,한화손해보험,00135917,Y,28
보험수익,ifrs-full_InsuranceRevenue,duration,흥국화재,00103176,Y,22
보험서비스결과,ifrs-full_InsuranceServiceResult,duration,미래에셋생명,00112332,Y,6
보험서비스결과,ifrs-full_InsuranceServiceResult,duration,삼성생명,00126256,Y,6
